timestamp,open,high,low,close,volume
2019-04-26 02:41:00,144.1520,144.1540,144.1200,144.1540,0.0
2019-04-26 02:40:00,144.1590,144.1640,144.1000,144.1490,0.0
2019-04-26 02:39:00,144.1300,144.1920,144.1300,144.1570,0.0
2019-04-26 02:38:00,144.1750,144.1960,144.1400,144.1920,0.0
2019-04-26 02:37:00,144.1870,144.1870,144.1200,144.1700,0.0
2019-04-26 02:36:00,144.1200,144.1870,144.1200,144.1860,0.0
2019-04-26 02:35:00,144.1650,144.1840,144.1300,144.1830,0.0
2019-04-26 02:34:00,144.1550,144.1680,144.1000,144.1650,0.0
2019-04-26 02:33:00,144.1470,144.1600,144.0900,144.1530,0.0
2019-04-26 02:32:00,144.1470,144.1510,144.1100,144.1470,0.0
2019-04-26 02:31:00,144.1360,144.1530,144.0800,144.1470,0.0
2019-04-26 02:30:00,144.0600,144.1470,144.0600,144.1360,0.0
2019-04-26 02:29:00,144.1300,144.1370,144.0800,144.1210,0.0
2019-04-26 02:28:00,144.1240,144.1330,144.0500,144.1310,0.0
2019-04-26 02:27:00,144.0600,144.1360,144.0600,144.1000,0.0
2019-04-26 02:26:00,144.1420,144.1430,144.0900,144.1230,0.0
2019-04-26 02:25:00,144.1380,144.1660,144.1000,144.1420,0.0
2019-04-26 02:24:00,144.0800,144.1450,144.0800,144.1380,0.0
2019-04-26 02:23:00,144.1570,144.1570,144.1100,144.1390,0.0
2019-04-26 02:22:00,144.1660,144.1660,144.1000,144.1570,0.0
2019-04-26 02:21:00,144.1000,144.1780,144.1000,144.1660,0.0
2019-04-26 02:20:00,144.1470,144.1680,144.1200,144.1620,0.0
2019-04-26 02:19:00,144.1550,144.1710,144.0900,144.1470,0.0
2019-04-26 02:18:00,144.0800,144.1590,144.0800,144.1440,0.0
2019-04-26 02:17:00,144.1550,144.1650,144.1200,144.1460,0.0
2019-04-26 02:16:00,144.1050,144.1690,144.0800,144.1570,0.0
2019-04-26 02:15:00,144.0600,144.1290,144.0600,144.1050,0.0
2019-04-26 02:14:00,144.1320,144.1450,144.0800,144.1240,0.0
2019-04-26 02:13:00,144.0570,144.1580,144.0400,144.1340,0.0
2019-04-26 02:12:00,144.0450,144.0610,143.9800,144.0570,0.0
2019-04-26 02:11:00,144.0160,144.0550,143.9800,144.0410,0.0
2019-04-26 02:10:00,144.0220,144.0360,143.9600,144.0140,0.0
2019-04-26 02:09:00,144.0350,144.0430,143.9700,144.0270,0.0
2019-04-26 02:08:00,144.0060,144.0390,143.9800,144.0350,0.0
2019-04-26 02:07:00,144.0060,144.0110,143.9400,144.0060,0.0
2019-04-26 02:06:00,143.9500,144.0240,143.9500,144.0060,0.0
2019-04-26 02:05:00,144.0330,144.0510,143.9800,144.0110,0.0
2019-04-26 02:04:00,144.0280,144.0400,143.9700,144.0330,0.0
2019-04-26 02:03:00,143.9600,144.0300,143.9600,144.0280,0.0
2019-04-26 02:02:00,144.0100,144.0500,144.0000,144.0240,0.0
2019-04-26 02:01:00,144.0510,144.0540,143.9800,144.0370,0.0
2019-04-26 02:00:00,144.0830,144.0840,144.0200,144.0400,0.0
2019-04-26 01:59:00,144.0790,144.0840,144.0500,144.0500,0.0
2019-04-26 01:58:00,144.0820,144.0900,144.0100,144.0790,0.0
2019-04-26 01:57:00,144.0100,144.0860,144.0100,144.0820,0.0
2019-04-26 01:56:00,144.0790,144.0860,144.0400,144.0750,0.0
2019-04-26 01:55:00,144.0800,144.0830,144.0200,144.0760,0.0
2019-04-26 01:54:00,144.0790,144.0840,144.0200,144.0800,0.0
2019-04-26 01:53:00,144.0960,144.0970,144.0500,144.0790,0.0
2019-04-26 01:52:00,144.0890,144.1170,144.0500,144.0960,0.0
2019-04-26 01:51:00,144.0100,144.1000,144.0100,144.0890,0.0
2019-04-26 01:50:00,144.0760,144.0800,144.0300,144.0710,0.0
2019-04-26 01:49:00,144.1030,144.1030,144.0300,144.0760,0.0
2019-04-26 01:48:00,144.0300,144.1170,144.0300,144.1030,0.0
2019-04-26 01:47:00,144.0700,144.1060,144.0400,144.0910,0.0
2019-04-26 01:46:00,144.0690,144.0850,144.0300,144.0700,0.0
2019-04-26 01:45:00,144.0200,144.0920,144.0200,144.0690,0.0
2019-04-26 01:44:00,144.1000,144.1030,144.0500,144.0830,0.0
2019-04-26 01:43:00,144.1190,144.1250,144.0500,144.1000,0.0
2019-04-26 01:42:00,144.1220,144.1280,144.0600,144.1170,0.0
2019-04-26 01:41:00,144.1010,144.1310,144.0700,144.1220,0.0
2019-04-26 01:40:00,144.0990,144.1260,144.0600,144.1010,0.0
2019-04-26 01:39:00,144.0500,144.1120,144.0500,144.1030,0.0
2019-04-26 01:38:00,144.1130,144.1270,144.0800,144.1100,0.0
2019-04-26 01:37:00,144.1250,144.1370,144.0600,144.1160,0.0
2019-04-26 01:36:00,144.1230,144.1340,144.0600,144.1250,0.0
2019-04-26 01:35:00,144.1540,144.1560,144.0900,144.1220,0.0
2019-04-26 01:34:00,144.1440,144.1620,144.1000,144.1300,0.0
2019-04-26 01:33:00,144.1640,144.1750,144.1000,144.1440,0.0
2019-04-26 01:32:00,144.1640,144.1880,144.1300,144.1550,0.0
2019-04-26 01:31:00,144.1520,144.1730,144.1100,144.1640,0.0
2019-04-26 01:30:00,144.1100,144.1790,144.1100,144.1520,0.0
2019-04-26 01:29:00,144.1590,144.1770,144.1300,144.1660,0.0
2019-04-26 01:28:00,144.1710,144.1730,144.0900,144.1300,0.0
2019-04-26 01:27:00,144.1100,144.1850,144.1100,144.1710,0.0
2019-04-26 01:26:00,144.1570,144.1770,144.1300,144.1650,0.0
2019-04-26 01:25:00,144.1900,144.2150,144.1000,144.1570,0.0
2019-04-26 01:24:00,144.0800,144.2120,144.0800,144.1900,0.0
2019-04-26 01:23:00,144.1170,144.1500,144.0900,144.1430,0.0
2019-04-26 01:22:00,144.1050,144.1370,144.0600,144.1170,0.0
2019-04-26 01:21:00,144.0400,144.1310,144.0400,144.1030,0.0
2019-04-26 01:20:00,144.0920,144.1220,144.0600,144.0980,0.0
2019-04-26 01:19:00,144.1280,144.1330,144.0200,144.0920,0.0
2019-04-26 01:18:00,144.0700,144.1540,144.0700,144.1270,0.0
2019-04-26 01:17:00,144.0460,144.1340,144.0100,144.1260,0.0
2019-04-26 01:16:00,144.0260,144.0470,143.9700,144.0470,0.0
